Allemagne, 467,451,592,594
Ireland, 151,398,197,474
Angleterre,212,309,336,517 
Suede, 592,136,676,393 
Finlande, 708,65,802,230
Norvege, 468,49,550,280
Danemark,488,363,553,433
Pologne, 602,458,791,553
Estonie, 747,285,816,315
Islande, 159,64,242,112
Lettonie,738,331,825,375
Lithuanie,726,386,801,433
Bielorussie,834,390,920,501
Russie,886,20,1182,480
Bays-Bas,401,490,426,529
